OrderID,Date,CustomerID,Product,Quantity,UnitPrice,TotalPrice,PaymentMethod,Clean_CouponCode
ORD200058,1/15/2023,C60190,Phone,4,474.69,1898.76,Gift Card,SAVE10
ORD200059,9/11/2024,C97603,Chair,4,593.27,2373.08,Online,NONE
ORD200060,8/21/2024,C39256,Desk,1,417.10,417.10,Debit Card,FREESHIP
ORD200061,3/24/2024,C61618,Desk,4,122.20,488.80,Cash,FREESHIP
ORD200062,8/22/2023,C36497,Desk,2,43.15,86.30,Debit Card,WINTER15
ORD200063,2/2/2025,C96695,Chair,1,564.86,564.86,Debit Card,WINTER15
ORD200064,6/25/2025,C49720,Printer,3,130.61,391.83,Debit Card,FREESHIP
ORD200065,12/30/2023,C97735,Monitor,5,81.70,408.50,Credit Card,NONE
ORD200066,11/15/2024,C18104,Chair,5,127.18,635.90,Cash,SAVE10
ORD200067,12/9/2024,C25587,Printer,4,12.10,48.40,Debit Card,NONE
ORD200068,12/11/2023,C41598,Chair,3,490.92,1472.76,Credit Card,FREESHIP
ORD200069,5/11/2023,C43338,Monitor,3,478.65,1435.95,Online,NONE
ORD200070,5/26/2023,C25123,Desk,1,629.21,629.21,Gift Card,FREESHIP
ORD200071,6/10/2025,C37454,Monitor,3,434.45,1303.35,Credit Card,NONE
ORD200072,12/22/2024,C19451,Tablet,4,589.44,2357.76,Gift Card,NONE
ORD200073,5/3/2023,C17269,Monitor,4,433.45,1733.80,Gift Card,NONE
ORD200074,6/24/2023,C25382,Phone,5,90.87,454.35,Cash,NONE
ORD200075,9/26/2023,C80651,Tablet,3,398.17,1194.51,Debit Card,SAVE10
ORD200076,3/31/2024,C58638,Laptop,4,382.88,1531.52,Cash,WINTER15
ORD200077,5/24/2024,C50121,Phone,1,583.18,583.18,Credit Card,NONE
ORD200078,8/6/2024,C32029,Printer,4,175.36,701.44,Debit Card,FREESHIP
ORD200079,3/10/2025,C76700,Tablet,2,311.91,623.82,Online,NONE
ORD200080,6/27/2023,C29041,Phone,3,589.56,1768.68,Online,NONE
ORD200081,6/8/2023,C29314,Monitor,2,394.30,788.60,Cash,FREESHIP
ORD200082,1/5/2024,C65799,Tablet,4,565.20,2260.80,Debit Card,SAVE10
ORD200083,8/22/2023,C15681,Laptop,4,540.41,2161.64,Credit Card,NONE
ORD200084,8/28/2023,C64160,Monitor,2,165.49,330.98,Online,WINTER15
ORD200085,9/9/2024,C14553,Tablet,3,146.73,440.19,Cash,FREESHIP
ORD200086,6/19/2024,C88205,Printer,5,643.03,3215.15,Online,FREESHIP
ORD200087,10/10/2024,C91245,Tablet,3,225.11,675.33,Cash,SAVE10
ORD200088,6/5/2025,C75439,Desk,3,114.81,344.43,Gift Card,NONE
ORD200089,2/25/2025,C17181,Printer,5,455.33,2276.65,Credit Card,FREESHIP
ORD200090,9/18/2023,C36540,Chair,4,182.08,728.32,Gift Card,SAVE10
ORD200091,3/15/2023,C98216,Laptop,5,492.75,2463.75,Cash,WINTER15
ORD200092,6/10/2024,C29568,Printer,4,48.61,194.44,Online,FREESHIP
ORD200093,1/14/2023,C97262,Desk,4,431.01,1724.04,Credit Card,NONE
ORD200094,2/11/2023,C79821,Chair,1,531.18,531.18,Gift Card,WINTER15
ORD200095,3/24/2023,C76761,Printer,4,117.51,470.04,Debit Card,NONE
ORD200096,6/1/2024,C93007,Phone,2,232.83,465.66,Gift Card,NONE
ORD200097,1/21/2025,C15624,Tablet,5,619.52,3097.60,Debit Card,NONE
ORD200098,1/14/2023,C70921,Printer,2,228.54,457.08,Debit Card,NONE
ORD200099,4/12/2025,C30477,Printer,1,201.58,201.58,Debit Card,WINTER15
ORD200100,2/17/2023,C74866,Phone,3,664.79,1994.37,Online,NONE
ORD200101,11/25/2023,C15283,Printer,1,381.02,381.02,Cash,NONE
ORD200102,3/8/2023,C18037,Laptop,2,70.34,140.68,Gift Card,FREESHIP
ORD200103,1/25/2025,C62656,Phone,4,218.43,873.72,Credit Card,SAVE10
ORD200104,7/30/2024,C65744,Phone,1,582.04,582.04,Gift Card,FREESHIP
ORD200105,10/24/2024,C72290,Printer,3,185.40,556.20,Gift Card,NONE
ORD200106,9/8/2023,C73514,Desk,3,465.05,1395.15,Credit Card,SAVE10
ORD200107,3/27/2023,C16775,Printer,5,670.75,3353.75,Gift Card,FREESHIP
ORD200108,12/28/2024,C33099,Laptop,5,48.38,241.90,Gift Card,WINTER15
ORD200109,9/17/2023,C51157,Desk,3,592.87,1778.61,Gift Card,FREESHIP
ORD200110,4/21/2024,C74562,Tablet,1,220.77,220.77,Gift Card,FREESHIP
ORD200111,5/7/2025,C95271,Desk,3,309.22,927.66,Online,FREESHIP
ORD200112,1/1/2023,C81366,Monitor,1,410.60,410.60,Online,WINTER15
ORD200113,1/17/2024,C65905,Laptop,5,190.08,950.40,Cash,FREESHIP
ORD200114,1/27/2025,C77272,Monitor,5,498.48,2492.40,Online,SAVE10
ORD200115,11/27/2023,C32580,Phone,5,374.99,1874.95,Online,SAVE10
ORD200116,3/19/2023,C47761,Printer,4,291.35,1165.40,Credit Card,WINTER15
ORD200117,3/8/2023,C49187,Tablet,1,535.50,535.50,Gift Card,WINTER15
ORD200118,10/9/2023,C27898,Printer,5,502.71,2513.55,Gift Card,FREESHIP
ORD200119,6/11/2025,C14683,Desk,2,534.67,1069.34,Debit Card,FREESHIP
ORD200120,4/11/2023,C58108,Tablet,4,629.34,2517.36,Cash,WINTER15
ORD200121,11/30/2023,C89822,Desk,1,410.78,410.78,Cash,FREESHIP
ORD200122,4/15/2024,C96787,Laptop,2,533.02,1066.04,Gift Card,NONE
ORD200123,7/6/2023,C86064,Desk,3,278.04,834.12,Online,NONE
ORD200124,7/28/2024,C97148,Printer,4,283.79,1135.16,Online,NONE
ORD200125,11/6/2024,C91099,Phone,2,512.65,1025.30,Credit Card,SAVE10
ORD200126,5/3/2025,C55606,Desk,4,275.50,1102.00,Gift Card,FREESHIP
ORD200127,8/10/2023,C71486,Desk,3,469.32,1407.96,Debit Card,NONE
ORD200128,2/17/2023,C86408,Tablet,4,21.07,84.28,Gift Card,FREESHIP
ORD200129,10/27/2023,C52751,Laptop,4,263.93,1055.72,Debit Card,FREESHIP
ORD200130,1/22/2025,C29059,Desk,3,501.30,1503.90,Online,WINTER15
ORD200131,1/8/2023,C72862,Tablet,1,84.80,84.80,Gift Card,NONE
ORD200132,3/28/2023,C96257,Tablet,4,450.75,1803.00,Credit Card,WINTER15
ORD200133,6/20/2025,C87432,Chair,4,302.05,1208.20,Debit Card,SAVE10
ORD200134,6/23/2025,C16253,Laptop,2,199.70,399.40,Cash,NONE
ORD200135,8/4/2023,C79909,Printer,2,68.81,137.62,Gift Card,SAVE10
ORD200136,4/27/2024,C73370,Laptop,1,44.35,44.35,Gift Card,SAVE10
ORD200137,11/26/2024,C50682,Monitor,2,250.98,501.96,Credit Card,NONE
ORD200138,12/21/2023,C21905,Tablet,1,298.06,298.06,Debit Card,WINTER15
ORD200139,4/10/2023,C61440,Phone,1,583.90,583.90,Cash,NONE
ORD200140,5/31/2025,C33110,Chair,3,528.14,1584.42,Online,FREESHIP
ORD200141,11/18/2023,C80004,Printer,3,684.14,2052.42,Cash,WINTER15
ORD200142,9/6/2023,C86374,Desk,5,272.77,1363.85,Cash,WINTER15
ORD200143,6/13/2024,C66521,Chair,4,400.07,1600.28,Online,NONE
ORD200144,8/4/2023,C63365,Desk,5,219.78,1098.90,Credit Card,NONE
ORD200145,3/2/2024,C85929,Printer,3,146.91,440.73,Credit Card,FREESHIP
ORD200146,4/30/2025,C84645,Tablet,2,411.49,822.98,Credit Card,NONE
ORD200147,5/6/2025,C46316,Laptop,2,465.18,930.36,Credit Card,SAVE10
ORD200148,12/15/2024,C35100,Phone,2,319.91,639.82,Credit Card,WINTER15
ORD200149,12/27/2023,C39671,Laptop,1,217.56,217.56,Debit Card,NONE
ORD200150,12/13/2023,C25503,Phone,2,105.57,211.14,Debit Card,WINTER15
ORD200151,12/1/2023,C32960,Printer,5,444.76,2223.80,Debit Card,NONE
ORD200152,1/2/2025,C77736,Chair,2,399.04,798.08,Cash,FREESHIP
ORD200153,12/18/2024,C71570,Chair,4,534.48,2137.92,Online,WINTER15
ORD200154,7/20/2023,C73587,Phone,4,408.21,1632.84,Credit Card,NONE
ORD200155,2/27/2023,C62740,Phone,1,424.40,424.40,Online,WINTER15
ORD200156,11/8/2024,C58808,Chair,2,269.83,539.66,Online,SAVE10
ORD200157,2/21/2025,C50422,Monitor,2,564.58,1129.16,Online,WINTER15
ORD200158,5/16/2024,C23334,Tablet,1,331.06,331.06,Credit Card,WINTER15
ORD200159,10/31/2023,C48965,Printer,1,299.35,299.35,Credit Card,WINTER15
ORD200160,2/17/2023,C38669,Monitor,4,101.32,405.28,Cash,NONE
ORD200161,3/29/2024,C35091,Monitor,1,211.14,211.14,Credit Card,SAVE10
ORD200162,7/27/2023,C82313,Chair,3,65.86,197.58,Online,WINTER15
ORD200163,6/24/2025,C99589,Tablet,1,641.39,641.39,Online,NONE
ORD200164,12/28/2023,C70566,Desk,5,536.58,2682.90,Gift Card,SAVE10
ORD200165,9/14/2024,C60355,Monitor,2,500.29,1000.58,Online,WINTER15
ORD200166,3/4/2025,C28889,Chair,3,86.29,258.87,Cash,WINTER15
ORD200167,5/27/2023,C88304,Chair,2,384.14,768.28,Online,WINTER15
ORD200168,1/4/2025,C49517,Printer,1,594.96,594.96,Cash,NONE
ORD200169,4/7/2024,C35785,Printer,1,427.82,427.82,Online,WINTER15
ORD200170,4/4/2025,C80223,Desk,4,662.94,2651.76,Cash,SAVE10
ORD200171,8/15/2023,C20448,Tablet,2,148.22,296.44,Credit Card,WINTER15
ORD200172,4/6/2025,C34134,Printer,1,254.12,254.12,Online,WINTER15
ORD200173,3/24/2024,C95901,Phone,3,664.46,1993.38,Online,FREESHIP
ORD200174,4/16/2024,C51145,Printer,4,600.81,2403.24,Debit Card,SAVE10
ORD200175,2/8/2025,C78170,Chair,5,68.34,341.70,Debit Card,WINTER15
ORD200176,6/28/2025,C80151,Tablet,4,430.83,1723.32,Gift Card,WINTER15
ORD200177,8/5/2023,C55632,Chair,5,431.69,2158.45,Credit Card,NONE
ORD200178,4/11/2024,C53070,Chair,4,512.06,2048.24,Online,SAVE10
ORD200179,11/24/2024,C27401,Laptop,3,539.91,1619.73,Credit Card,NONE
ORD200180,3/18/2023,C87216,Tablet,5,316.07,1580.35,Cash,NONE
ORD200181,8/31/2024,C38966,Printer,5,404.39,2021.95,Online,NONE
ORD200182,3/19/2025,C16612,Desk,1,600.54,600.54,Debit Card,WINTER15
ORD200183,4/18/2024,C39246,Monitor,5,186.28,931.40,Debit Card,SAVE10
ORD200184,4/4/2024,C65180,Tablet,4,214.54,858.16,Gift Card,NONE
ORD200185,2/2/2025,C46877,Laptop,1,210.70,210.70,Online,WINTER15
ORD200186,12/7/2023,C30334,Phone,2,133.55,267.10,Cash,FREESHIP
ORD200187,2/8/2023,C21227,Chair,1,590.87,590.87,Gift Card,FREESHIP
ORD200188,3/15/2025,C97715,Chair,2,363.91,727.82,Gift Card,FREESHIP
ORD200189,7/5/2023,C48939,Printer,5,429.45,2147.25,Gift Card,WINTER15
ORD200190,8/31/2024,C35483,Printer,3,223.70,671.10,Cash,SAVE10
ORD200191,3/8/2025,C51494,Laptop,2,488.87,977.74,Online,FREESHIP
ORD200192,8/11/2023,C58410,Desk,1,645.46,645.46,Gift Card,SAVE10
ORD200193,7/21/2023,C11644,Printer,1,46.66,46.66,Cash,NONE
ORD200194,6/8/2024,C53501,Monitor,1,249.57,249.57,Cash,FREESHIP
ORD200195,4/22/2024,C63619,Chair,3,619.21,1857.63,Debit Card,NONE
ORD200196,1/24/2025,C40882,Desk,4,217.13,868.52,Cash,WINTER15
ORD200197,8/27/2023,C80135,Laptop,5,221.51,1107.55,Cash,WINTER15
ORD200198,6/11/2024,C37594,Laptop,4,340.30,1361.20,Cash,SAVE10
ORD200199,1/23/2025,C87524,Phone,1,625.00,625.00,Online,WINTER15
ORD200200,6/7/2025,C97681,Tablet,5,433.26,2166.30,Credit Card,SAVE10
ORD200201,6/18/2023,C10126,Monitor,2,674.90,1349.80,Online,SAVE10
ORD200202,2/6/2025,C36938,Monitor,3,253.98,761.94,Credit Card,FREESHIP
ORD200203,1/21/2025,C99173,Printer,3,356.84,1070.52,Online,SAVE10
ORD200204,9/5/2023,C99775,Laptop,4,413.71,1654.84,Gift Card,FREESHIP
ORD200205,3/4/2023,C19266,Desk,3,147.39,442.17,Debit Card,NONE
ORD200206,4/16/2024,C31072,Laptop,4,229.10,916.40,Gift Card,WINTER15
ORD200207,3/18/2025,C54595,Phone,1,121.96,121.96,Debit Card,NONE
ORD200208,10/8/2024,C87777,Desk,2,408.32,816.64,Online,FREESHIP
ORD200209,8/29/2023,C35854,Tablet,5,187.97,939.85,Cash,SAVE10
ORD200210,12/5/2024,C93821,Chair,3,358.48,1075.44,Gift Card,FREESHIP
ORD200211,1/3/2025,C54390,Printer,3,193.58,580.74,Gift Card,FREESHIP
ORD200212,6/20/2023,C53215,Monitor,1,265.38,265.38,Credit Card,WINTER15
ORD200213,4/20/2023,C71122,Laptop,1,634.40,634.40,Cash,SAVE10
ORD200214,8/21/2024,C29483,Desk,4,305.72,1222.88,Online,NONE
ORD200215,8/10/2023,C26767,Printer,1,303.60,303.60,Cash,FREESHIP
ORD200216,4/15/2025,C70492,Monitor,4,496.00,1984.00,Online,WINTER15
ORD200217,5/20/2024,C61549,Desk,4,321.51,1286.04,Cash,NONE
ORD200218,4/28/2023,C11665,Tablet,3,112.46,337.38,Gift Card,SAVE10
ORD200219,5/2/2025,C48946,Laptop,5,61.97,309.85,Cash,SAVE10
ORD200220,7/18/2023,C79506,Laptop,2,373.17,746.34,Credit Card,SAVE10
ORD200221,2/23/2024,C93473,Tablet,5,639.37,3196.85,Debit Card,SAVE10
ORD200222,5/4/2023,C43124,Chair,4,693.36,2773.44,Online,NONE
ORD200223,9/11/2024,C22783,Phone,4,692.91,2771.64,Credit Card,SAVE10
ORD200224,9/23/2023,C18567,Printer,4,91.46,365.84,Cash,SAVE10
ORD200225,3/13/2024,C99879,Phone,3,273.96,821.88,Debit Card,SAVE10
ORD200226,6/27/2025,C31501,Desk,3,588.05,1764.15,Gift Card,NONE
ORD200227,11/2/2023,C93220,Monitor,2,365.17,730.34,Online,FREESHIP
ORD200228,5/17/2023,C57867,Chair,4,385.92,1543.68,Credit Card,NONE
ORD200229,3/28/2025,C62622,Tablet,1,562.61,562.61,Credit Card,WINTER15
ORD200230,12/16/2023,C94595,Desk,4,61.91,247.64,Gift Card,WINTER15
ORD200231,11/5/2023,C30955,Phone,4,41.90,167.60,Gift Card,FREESHIP
ORD200232,5/19/2023,C20731,Printer,4,444.44,1777.76,Debit Card,WINTER15
ORD200233,8/24/2024,C30168,Phone,3,311.33,933.99,Cash,WINTER15
ORD200234,11/26/2024,C79842,Printer,4,236.41,945.64,Debit Card,SAVE10
ORD200235,2/20/2023,C32854,Desk,1,65.45,65.45,Cash,WINTER15
ORD200236,1/1/2023,C14847,Monitor,1,318.81,318.81,Debit Card,WINTER15
ORD200237,3/14/2024,C88645,Monitor,3,583.72,1751.16,Credit Card,FREESHIP
ORD200238,12/13/2024,C66149,Desk,4,384.32,1537.28,Credit Card,WINTER15
ORD200239,12/11/2024,C20256,Tablet,3,538.74,1616.22,Online,FREESHIP
ORD200240,7/12/2023,C14983,Tablet,1,17.24,17.24,Online,FREESHIP
ORD200241,5/16/2023,C20817,Chair,5,615.67,3078.35,Online,SAVE10
ORD200242,5/9/2023,C94921,Printer,2,219.10,438.20,Online,SAVE10
ORD200243,5/9/2025,C54725,Chair,2,144.66,289.32,Online,FREESHIP
ORD200244,2/16/2023,C98096,Desk,2,317.77,635.54,Debit Card,WINTER15
ORD200245,4/20/2025,C12667,Laptop,1,223.30,223.30,Online,NONE
ORD200246,8/30/2024,C55354,Desk,2,342.11,684.22,Gift Card,WINTER15
ORD200247,7/20/2023,C14600,Printer,2,220.90,441.80,Gift Card,NONE
ORD200248,7/2/2023,C97187,Laptop,1,670.54,670.54,Cash,FREESHIP
ORD200249,2/7/2024,C39106,Printer,1,546.19,546.19,Cash,FREESHIP
ORD200250,4/5/2023,C93379,Desk,3,42.95,128.85,Gift Card,SAVE10
ORD200251,5/15/2025,C93175,Monitor,4,14.69,58.76,Cash,NONE
ORD200252,9/20/2024,C19648,Phone,4,668.36,2673.44,Gift Card,FREESHIP
ORD200253,3/23/2024,C14891,Chair,4,413.74,1654.96,Gift Card,FREESHIP
ORD200254,12/26/2023,C10866,Monitor,3,263.19,789.57,Online,NONE
ORD200255,5/13/2024,C47283,Monitor,1,263.96,263.96,Gift Card,SAVE10
ORD200256,6/30/2025,C94323,Chair,5,75.81,379.05,Gift Card,WINTER15
ORD200257,4/23/2024,C89732,Phone,1,406.22,406.22,Credit Card,SAVE10
ORD200258,2/26/2024,C87764,Tablet,2,103.41,206.82,Online,FREESHIP
ORD200259,6/11/2023,C20977,Chair,4,435.12,1740.48,Credit Card,SAVE10
ORD200260,5/17/2023,C12245,Monitor,2,407.79,815.58,Debit Card,NONE
ORD200261,5/28/2025,C68976,Phone,5,173.65,868.25,Gift Card,SAVE10
ORD200262,1/10/2023,C69476,Phone,4,249.07,996.28,Credit Card,WINTER15
ORD200263,3/25/2023,C71040,Phone,4,434.85,1739.40,Credit Card,WINTER15
ORD200264,8/3/2024,C71035,Tablet,1,436.77,436.77,Cash,FREESHIP
ORD200265,12/22/2023,C20752,Printer,1,572.13,572.13,Debit Card,SAVE10
ORD200266,6/8/2024,C38840,Chair,4,583.07,2332.28,Credit Card,FREESHIP
ORD200267,4/17/2025,C84480,Chair,5,468.51,2342.55,Debit Card,NONE
ORD200268,8/11/2023,C37032,Phone,2,423.88,847.76,Debit Card,SAVE10
ORD200269,11/25/2023,C48942,Tablet,4,663.67,2654.68,Credit Card,FREESHIP
ORD200270,6/4/2023,C13540,Printer,4,309.91,1239.64,Debit Card,WINTER15
ORD200271,3/28/2023,C59572,Monitor,1,542.07,542.07,Cash,WINTER15
ORD200272,9/19/2023,C29758,Chair,2,399.32,798.64,Online,WINTER15
ORD200273,10/27/2024,C11849,Tablet,2,238.25,476.50,Online,FREESHIP
ORD200274,2/4/2023,C50967,Phone,2,182.40,364.80,Gift Card,SAVE10
ORD200275,11/4/2023,C80735,Chair,2,65.07,130.14,Credit Card,SAVE10
ORD200276,3/29/2025,C99050,Printer,2,600.57,1201.14,Debit Card,WINTER15
ORD200277,9/9/2024,C11210,Chair,5,90.92,454.60,Credit Card,SAVE10
ORD200278,11/18/2024,C46015,Laptop,5,362.46,1812.30,Cash,FREESHIP
ORD200279,10/20/2023,C69167,Chair,3,55.01,165.03,Online,WINTER15
ORD200280,3/27/2023,C55388,Tablet,3,404.62,1213.86,Gift Card,FREESHIP
ORD200281,7/27/2023,C87181,Desk,4,654.79,2619.16,Cash,NONE
ORD200282,4/22/2025,C30411,Printer,4,637.79,2551.16,Gift Card,FREESHIP
ORD200283,2/28/2025,C39638,Laptop,4,540.33,2161.32,Cash,NONE
ORD200284,2/16/2023,C27203,Laptop,5,208.17,1040.85,Credit Card,SAVE10
ORD200285,6/10/2025,C67583,Phone,1,338.31,338.31,Online,NONE
ORD200286,4/7/2025,C70554,Monitor,3,139.45,418.35,Gift Card,WINTER15
ORD200287,11/24/2023,C70437,Chair,4,655.18,2620.72,Online,NONE
ORD200288,3/12/2023,C97643,Laptop,4,512.75,2051.00,Debit Card,WINTER15
ORD200289,7/26/2023,C17136,Chair,4,160.49,641.96,Credit Card,WINTER15
ORD200290,5/5/2023,C24901,Chair,3,99.90,299.70,Cash,FREESHIP
ORD200291,5/12/2024,C61521,Phone,2,345.01,690.02,Credit Card,FREESHIP
ORD200292,1/15/2025,C39639,Monitor,1,65.95,65.95,Credit Card,NONE
ORD200293,2/16/2023,C33220,Tablet,4,463.04,1852.16,Gift Card,NONE
ORD200294,4/1/2025,C65414,Phone,2,297.71,595.42,Online,SAVE10
ORD200295,1/25/2023,C49009,Printer,5,107.48,537.40,Debit Card,FREESHIP
ORD200296,6/19/2024,C48453,Desk,5,638.80,3194.00,Debit Card,WINTER15
ORD200297,2/22/2023,C68078,Desk,2,493.88,987.76,Credit Card,SAVE10
ORD200298,12/19/2023,C19402,Printer,4,301.17,1204.68,Online,NONE
ORD200299,1/20/2024,C30711,Monitor,1,278.66,278.66,Gift Card,FREESHIP
ORD200300,9/2/2024,C39000,Phone,1,287.46,287.46,Debit Card,FREESHIP
ORD200301,5/11/2023,C31105,Chair,1,583.99,583.99,Cash,SAVE10
ORD200302,5/16/2023,C29432,Chair,3,468.74,1406.22,Cash,FREESHIP
ORD200303,12/7/2024,C48531,Tablet,1,30.54,30.54,Debit Card,NONE
ORD200304,10/18/2024,C86762,Monitor,5,408.73,2043.65,Gift Card,FREESHIP
ORD200305,11/25/2023,C63822,Laptop,4,126.89,507.56,Cash,FREESHIP
ORD200306,6/7/2024,C70495,Printer,2,57.07,114.14,Debit Card,SAVE10
ORD200307,7/1/2023,C92407,Laptop,3,557.41,1672.23,Online,NONE
ORD200308,12/11/2023,C75888,Printer,3,448.90,1346.70,Debit Card,SAVE10
ORD200309,10/3/2023,C63153,Chair,4,549.76,2199.04,Debit Card,FREESHIP
ORD200310,2/24/2024,C85863,Printer,3,132.48,397.44,Online,NONE
ORD200311,5/17/2025,C71698,Desk,5,489.37,2446.85,Online,NONE
ORD200312,5/24/2025,C35397,Printer,5,66.31,331.55,Gift Card,FREESHIP
ORD200313,7/9/2023,C67687,Chair,2,434.30,868.60,Cash,SAVE10
ORD200314,10/4/2023,C29931,Desk,4,153.09,612.36,Online,FREESHIP
ORD200315,5/12/2025,C59139,Tablet,5,91.67,458.35,Online,FREESHIP
ORD200316,10/2/2023,C66078,Desk,4,275.28,1101.12,Gift Card,WINTER15
ORD200317,4/10/2023,C88370,Monitor,2,139.95,279.90,Online,NONE
ORD200318,7/27/2024,C93375,Chair,3,148.72,446.16,Debit Card,SAVE10
ORD200319,12/2/2023,C53049,Laptop,2,563.06,1126.12,Cash,NONE
ORD200320,12/19/2024,C55590,Printer,1,625.51,625.51,Credit Card,FREESHIP
ORD200321,8/9/2023,C47086,Phone,4,152.29,609.16,Debit Card,WINTER15
ORD200322,6/14/2024,C48646,Phone,5,231.82,1159.10,Debit Card,SAVE10
ORD200323,1/26/2025,C29416,Laptop,1,150.17,150.17,Debit Card,SAVE10
ORD200324,6/13/2024,C13525,Tablet,3,70.93,212.79,Debit Card,NONE
ORD200325,6/29/2023,C53545,Desk,3,361.39,1084.17,Credit Card,NONE
ORD200326,7/1/2024,C65986,Laptop,5,670.48,3352.40,Gift Card,SAVE10
